param N_paletes:=60;

param N_Niveis:=500;

param N_Racks:=50;

param Palete:
#	Referencia	Altura	Largura	Taxa de >Utilizacao
	1	2	3	4:=
1	267	79	800	11
2	276	109	800	5
3	267	79	800	11
4	269	39	800	10
5	266	109	800	11
6	266	49	800	11
7	262	39	800	15
8	274	109	800	7
9	279	59	800	3
10	265	49	800	11
11	262	79	800	15
12	273	109	800	7
13	280	109	800	3
14	273	109	800	7
15	278	39	800	4
16	274	109	800	7
17	259	79	800	29
18	268	39	800	10
19	274	49	800	7
20	280	109	800	3
21	257	109	800	31
22	281	109	800	2
23	260	61	800	23
24	280	109	800	3
25	274	109	800	7
26	274	109	800	7
27	264	79	800	12
28	280	109	800	3
29	263	79	800	15
30	273	109	800	7
31	264	79	800	12
32	266	109	800	11
33	273	109	800	7
34	267	79	800	11
35	275	109	800	7
36	258	79	800	29
37	262	39	800	15
38	273	109	800	7
39	259	79	800	29
40	258	79	800	29
41	266	49	800	11
42	269	79	800	10
43	274	109	800	7
44	280	109	800	3
45	275	109	800	7
46	276	109	800	5
47	274	109	800	7
48	274	109	800	7
49	276	109	800	5
50	274	109	800	7
51	273	109	800	7
52	270	59	800	10
53	274	109	800	7
54	274	109	800	7
55	263	79	800	15
56	269	79	800	10
57	259	79	800	29
58	257	109	800	31
59	260	61	800	23
60	276	109	800	5
;

param Nivel:
#	tempo	largura	rack					
	1	2	3	:=
1	0	3200	1	
2	1	3200	1	
3	2	3200	1	
4	4	3200	1	
5	5	3200	1	
6	7	3200	1	
7	9	3200	1	
8	12	3200	1	
9	14	3200	1	
10	17	3200	1	
11	1	3200	2	
12	2	3200	2	
13	3	3200	2	
14	5	3200	2	
15	6	3200	2	
16	8	3200	2	
17	10	3200	2	
18	13	3200	2	
19	15	3200	2	
20	18	3200	2	
21	2	3200	3	
22	3	3200	3	
23	4	3200	3	
24	6	3200	3	
25	7	3200	3	
26	9	3200	3	
27	11	3200	3	
28	14	3200	3	
29	16	3200	3	
30	19	3200	3	
31	3	3200	4	
32	4	3200	4	
33	5	3200	4	
34	7	3200	4	
35	8	3200	4	
36	10	3200	4	
37	12	3200	4	
38	15	3200	4	
39	17	3200	4	
40	20	3200	4	
41	4	3200	5	
42	5	3200	5	
43	6	3200	5	
44	8	3200	5	
45	9	3200	5	
46	11	3200	5	
47	13	3200	5	
48	16	3200	5	
49	18	3200	5	
50	21	3200	5	
51	5	3200	6	
52	6	3200	6	
53	7	3200	6	
54	9	3200	6	
55	10	3200	6	
56	12	3200	6	
57	14	3200	6	
58	17	3200	6	
59	19	3200	6	
60	22	3200	6	
61	6	3200	7	
62	7	3200	7	
63	8	3200	7	
64	10	3200	7	
65	11	3200	7	
66	13	3200	7	
67	15	3200	7	
68	18	3200	7	
69	20	3200	7	
