param N_paletes:=2000;

param N_Niveis:=500;

param N_Racks:=50;

param Palete:
#	Referencia	Altura	Largura	Taxa de >Utilizacao
	1	2	3	4:=
120	79	1000	18
257	109	800	31
63	79	1000	43
225	39	1000	4
245	39	1000	1
39	79	1000	49
105	33	1000	23
100	39	1000	24
263	39	800	15
194	79	1000	9
241	79	1000	2
27	79	1000	73
217	33	1000	5
15	79	1000	93
66	79	1000	42
153	39	1000	11
175	59	1000	10
95	59	1000	25
211	59	1000	5
132	59	1000	14
39	79	1000	49
134	33	1000	14
123	59	1000	17
121	46	1000	17
270	59	800	10
12	79	1000	96
13	79	1000	95
54	79	1000	46
182	39	1000	10
15	79	1000	93
251	79	1000	0
177	59	1000	10
192	79	1000	9
15	79	1000	93
146	79	1000	12
145	79	1000	12
8	79	1000	125
12	79	1000	96
234	39	1000	3
33	79	1000	62
146	79	1000	12
238	59	1000	3
223	39	1000	4
13	79	1000	95
177	59	1000	10
202	41	1000	7
17	33	1000	90
258	79	800	29
207	59	1000	6
174	39	1000	11
280	109	800	3
200	33	1000	8
269	39	800	10
22	47	1000	83
99	39	1000	24
220	39	1000	4
200	33	1000	8
93	59	1000	25
30	79	1000	66
273	109	800	7
259	79	800	29
89	39	1000	26
273	109	800	7
267	79	800	11
107	33	1000	23
84	39	1000	28
16	79	1000	93
34	79	1000	61
261	61	800	23
62	79	1000	43
133	59	1000	14
31	79	1000	65
203	59	1000	7
179	39	1000	10
201	41	1000	7
240	79	1000	2
85	79	1000	28
52	79	1000	46
57	79	1000	44
193	39	1000	9
272	39	800	7
93	59	1000	25
124	109	1000	17
135	33	1000	14
225	39	1000	4
170	59	1000	11
260	61	800	23
275	109	800	7
183	99	1000	10
14	33	1000	95
271	59	800	10
248	39	1000	1
13	79	1000	95
166	39	1000	11
25	47	1000	78
34	79	1000	61
274	109	800	7
250	59	1000	0
273	109	800	7
21	79	1000	86
106	33	1000	23
177	59	1000	10
57	79	1000	44
47	59	1000	48
275	109	800	7
273	109	800	7
12	79	1000	96
165	99	1000	11
54	79	1000	46
12	79	1000	96
68	33	1000	40
15	79	1000	93
13	79	1000	95
191	79	1000	9
106	33	1000	23
230	59	1000	3
16	79	1000	93
184	33	1000	10
125	109	1000	17
205	33	1000	7
198	39	1000	8
14	33	1000	95
22	47	1000	83
221	39	1000	4
9	33	1000	124
117	109	1000	18
138	79	1000	13
63	79	1000	43
6	83.2	1000	144
255	79	1000	0
13	79	1000	95
62	79	1000	43
265	109	800	11
15	79	1000	93
239	59	1000	2
92	79	1000	25
233	39	1000	3
15	79	1000	93
34	79	1000	61
165	99	1000	11
15	79	1000	93
173	59	1000	11
129	33	1000	15
21	79	1000	86
184	33	1000	10
241	79	1000	2
73	39	1000	35
16	79	1000	93
62	79	1000	43
273	49	800	7
50	46	1000	47
281	109	800	2
184	33	1000	10
25	47	1000	78
29	79	1000	68
30	79	1000	66
93	59	1000	25
137	33	1000	13
57	79	1000	44
273	109	800	7
15	79	1000	93
130	33	1000	15
227	79	1000	4
128	99	1000	16
36	33	1000	58
83	79	1000	28
71	39	1000	36
192	79	1000	9
196	39	1000	9
45	39	1000	48
35	59	1000	59
100	79	1000	24
150	109	1000	12
185	49	1000	9
15	79	1000	93
7	33	1000	129
16	79	1000	93
92	79	1000	25
114	109	1000	20
273	109	800	7
148	39	1000	12
155	79	1000	11
156	79	1000	11
47	59	1000	48
197	39	1000	8
16	79	1000	93
27	79	1000	73
263	39	800	15
16	79	1000	93
273	109	800	7
16	79	1000	93
165	99	1000	11
5	46	1000	148
137	33	1000	13
203	59	1000	7
84	39	1000	28
258	79	800	29
262	39	800	15
248	39	1000	1
251	79	1000	0
118	109	1000	18
45	39	1000	48
274	109	800	7
203	59	1000	7
142	33	1000	13
21	79	1000	86
109	59	1000	23
176	59	1000	10
277	109	800	5
63	79	1000	43
207	59	1000	6
194	79	1000	9
113	115	1000	20
39	79	1000	49
154	99	1000	11
273	109	800	7
95	59	1000	25
177	59	1000	10
253	59	1000	0
165	99	1000	11
271	59	800	10
265	109	800	11
21	79	1000	86
218	39	1000	5
7	33	1000	129
78	33	1000	32
2	47	1000	167
107	33	1000	23
153	39	1000	11
71	39	1000	36
66	79	1000	42
103	39	1000	24
95	59	1000	25
243	79	1000	1
86	79	1000	27
63	79	1000	43
113	115	1000	20
180	33	1000	10
169	99	1000	11
145	79	1000	12
90	79	1000	25
209	33	1000	6
83	79	1000	28
219	79	1000	5
160	39	1000	11
130	33	1000	15
266	109	800	11
179	39	1000	10
60	33	1000	43
281	109	800	2
238	59	1000	3
156	79	1000	11
11	33	1000	100
15	79	1000	93
15	79	1000	93
67	79	1000	41
16	79	1000	93
184	33	1000	10
80	39	1000	30
150	109	1000	12
97	79	1000	24
240	79	1000	2
29	79	1000	68
89	39	1000	26
165	99	1000	11
