param N_paletes:=6;

param N_Niveis:=500;

param N_Racks:=50;

param H_MAX_RACK:=929;

param Palete:
#	Referencia	Altura	Largura	Taxa de >Utilizacao
	1	2	3	4:=
1	265 	109 	800 	11
2	273 	109 	800	7
3	262 	79	800 	15
4	274 	109 	800 	7
5	261 	61	800 	23
6	273 	109 	800 	7
;

param Nivel:
#	tempo	largura	rack
1	2	3	:=
1	0	3200	1
2	1	3200	1
3	2	3200	1
4	4	3200	1
5	5	3200	1
6	7	3200	1
7	9	3200	1
8	12	3200	1
9	14	3200	1
10	17	3200	1
11	1	3200	2
12	2	3200	2
13	3	3200	2
14	5	3200	2
15	6	3200	2
16	8	3200	2
17	10	3200	2
18	13	3200	2
19	15	3200	2
20	18	3200	2
21	2	3200	3
22	3	3200	3
23	4	3200	3
24	6	3200	3
25	7	3200	3
26	9	3200	3
27	11	3200	3
28	14	3200	3
29	16	3200	3
30	19	3200	3
31	3	3200	4
32	4	3200	4
33	5	3200	4
34	7	3200	4
35	8	3200	4
36	10	3200	4
37	12	3200	4
38	15	3200	4
39	17	3200	4
40	20	3200	4
41	4	3200	5
42	5	3200	5
43	6	3200	5
44	8	3200	5
45	9	3200	5
46	11	3200	5
47	13	3200	5
48	16	3200	5
49	18	3200	5
50	21	3200	5
51	5	3200	6
52	6	3200	6
53	7	3200	6
54	9	3200	6
55	10	3200	6
56	12	3200	6
57	14	3200	6
58	17	3200	6
59	19	3200	6
60	22	3200	6
61	6	3200	7
62	7	3200	7
63	8	3200	7
64	10	3200	7
65	11	3200	7
66	13	3200	7
67	15	3200	7
68	18	3200	7
69	20	3200	7
70	23	3200	7
71	7	3200	8
72	8	3200	8
73	9	3200	8
74	11	3200	8
75	12	3200	8
76	14	3200	8
77	16	3200	8
78	19	3200	8
79	21	3200	8
80	24	3200	8
81	8	3200	9
82	9	3200	9
83	10	3200	9
84	12	3200	9
85	13	3200	9
86	15	3200	9
87	17	3200	9
88	20	3200	9
89	22	3200	9
90	25	3200	9
91	9	3200	10
92	10	3200	10
93	11	3200	10
94	13	3200	10
95	14	3200	10
96	16	3200	10
97	18	3200	10
98	21	3200	10
99	23	3200	10
100	26	3200	10
101	10	3200	11
102	11	3200	11
103	12	3200	11
104	14	3200	11
105	15	3200	11
106	17	3200	11
107	19	3200	11
108	22	3200	11
109	24	3200	11
110	27	3200	11
111	11	3200	12
112	12	3200	12
113	13	3200	12
114	15	3200	12
115	16	3200	12
116	18	3200	12
117	20	3200	12
118	23	3200	12
119	25	3200	12
120	28	3200	12
121	0	3200	13
122	1	3200	13
123	2	3200	13
124	4	3200	13
125	5	3200	13
126	7	3200	13
127	9	3200	13
128	12	3200	13
129	14	3200	13
130	17	3200	13
131	1	3200	14
132	2	3200	14
133	3	3200	14
134	5	3200	14
135	6	3200	14
136	8	3200	14
137	10	3200	14
138	13	3200	14
139	15	3200	14
140	18	3200	14
141	2	3200	15
142	3	3200	15
143	4	3200	15
144	6	3200	15
145	7	3200	15
146	9	3200	15
147	11	3200	15
148	14	3200	15
149	16	3200	15
150	19	3200	15
151	3	3200	16
152	4	3200	16
153	5	3200	16
154	7	3200	16
155	8	3200	16
156	10	3200	16
157	12	3200	16
158	15	3200	16
159	17	3200	16
160	20	3200	16
161	4	3200	17
162	5	3200	17
163	6	3200	17
164	8	3200	17
165	9	3200	17
166	11	3200	17
167	13	3200	17
168	16	3200	17
169	18	3200	17
170	21	3200	17
171	5	3200	18
172	6	3200	18
173	7	3200	18
174	9	3200	18
175	10	3200	18
176	12	3200	18
177	14	3200	18
178	17	3200	18
179	19	3200	18
180	22	3200	18
181	6	3200	19
182	7	3200	19
183	8	3200	19
184	10	3200	19
185	11	3200	19
186	13	3200	19
187	15	3200	19
188	18	3200	19
189	20	3200	19
190	23	3200	19
191	7	3200	20
192	8	3200	20
193	9	3200	20
194	11	3200	20
195	12	3200	20
196	14	3200	20
197	16	3200	20
198	19	3200	20
199	21	3200	20
200	24	3200	20
201	8	3200	21
202	9	3200	21
203	10	3200	21
204	12	3200	21
205	13	3200	21
206	15	3200	21
207	17	3200	21
208	20	3200	21
209	22	3200	21
210	25	3200	21
211	9	3200	22
212	10	3200	22
213	11	3200	22
214	13	3200	22
215	14	3200	22
216	16	3200	22
217	18	3200	22
218	21	3200	22
219	23	3200	22
220	26	3200	22
221	10	3200	23
222	11	3200	23
223	12	3200	23
224	14	3200	23
225	15	3200	23
226	17	3200	23
227	19	3200	23
228	22	3200	23
229	24	3200	23
230	27	3200	23
231	11	3200	24
232	12	3200	24
233	13	3200	24
234	15	3200	24
235	16	3200	24
236	18	3200	24
237	20	3200	24
238	23	3200	24
239	25	3200	24
240	28	3200	24
241	2	3200	25
242	3	3200	25
243	4	3200	25
244	6	3200	25
245	7	3200	25
246	9	3200	25
247	11	3200	25
248	14	3200	25
249	16	3200	25
250	19	3200	25
251	3	3200	26
252	4	3200	26
253	5	3200	26
254	7	3200	26
255	8	3200	26
256	10	3200	26
257	12	3200	26
258	15	3200	26
259	17	3200	26
260	20	3200	26
261	4	3200	27
262	5	3200	27
263	6	3200	27
264	8	3200	27
265	9	3200	27
266	11	3200	27
267	13	3200	27
268	16	3200	27
269	18	3200	27
270	21	3200	27
271	5	3200	28
272	6	3200	28
273	7	3200	28
274	9	3200	28
275	10	3200	28
276	12	3200	28
277	14	3200	28
278	17	3200	28
279	19	3200	28
280	22	3200	28
281	6	3200	29
282	7	3200	29
283	8	3200	29
284	10	3200	29
285	11	3200	29
286	13	3200	29
287	15	3200	29
288	18	3200	29
289	20	3200	29
290	23	3200	29
291	7	3200	30
292	8	3200	30
293	9	3200	30
294	11	3200	30
295	12	3200	30
296	14	3200	30
297	16	3200	30
298	19	3200	30
299	21	3200	30
300	24	3200	30
301	8	3200	31
302	9	3200	31
303	10	3200	31
304	12	3200	31
305	13	3200	31
306	15	3200	31
307	17	3200	31
308	20	3200	31
309	22	3200	31
310	25	3200	31
311	9	3200	32
312	10	3200	32
313	11	3200	32
314	13	3200	32
315	14	3200	32
316	16	3200	32
317	18	3200	32
318	21	3200	32
319	23	3200	32
320	26	3200	32
321	10	3200	33
322	11	3200	33
323	12	3200	33
324	14	3200	33
325	15	3200	33
326	17	3200	33
327	19	3200	33
328	22	3200	33
329	24	3200	33
330	27	3200	33
331	11	3200	34
332	12	3200	34
333	13	3200	34
334	15	3200	34
335	16	3200	34
336	18	3200	34
337	20	3200	34
338	23	3200	34
339	25	3200	34
340	28	3200	34
341	12	3200	35
342	13	3200	35
343	14	3200	35
344	16	3200	35
345	17	3200	35
346	19	3200	35
347	21	3200	35
348	24	3200	35
349	26	3200	35
350	29	3200	35
351	13	3200	36
352	14	3200	36
353	15	3200	36
354	17	3200	36
355	18	3200	36
356	20	3200	36
357	22	3200	36
